Type,Country,Year,Values
DALYs from bipolar disorder,Afghanistan,2019,148.22464
DALYs from depressive disorders,Afghanistan,2019,890.1888
DALYs from schizophrenia,Afghanistan,2019,135.63637
DALYs from anxiety disorders,Afghanistan,2019,457.2457
DALYs from eating disorders,Afghanistan,2019,24.71175
DALYs from bipolar disorder,African Region (WHO),2019,123.5525
DALYs from depressive disorders,African Region (WHO),2019,779.7414
DALYs from schizophrenia,African Region (WHO),2019,138.14122
DALYs from anxiety disorders,African Region (WHO),2019,335.29965
DALYs from eating disorders,African Region (WHO),2019,23.904
DALYs from bipolar disorder,Albania,2019,117.631195
DALYs from depressive disorders,Albania,2019,386.41925
DALYs from schizophrenia,Albania,2019,185.53891
DALYs from anxiety disorders,Albania,2019,368.115
DALYs from eating disorders,Albania,2019,29.221224
DALYs from bipolar disorder,Algeria,2019,163.71942
DALYs from depressive disorders,Algeria,2019,736.5149
DALYs from schizophrenia,Algeria,2019,160.01306
DALYs from anxiety disorders,Algeria,2019,458.80023
DALYs from eating disorders,Algeria,2019,44.83972
DALYs from bipolar disorder,American Samoa,2019,59.720222
DALYs from depressive disorders,American Samoa,2019,393.94205
DALYs from schizophrenia,American Samoa,2019,192.81041
DALYs from anxiety disorders,American Samoa,2019,384.18695
DALYs from eating disorders,American Samoa,2019,27.35564
DALYs from bipolar disorder,Andorra,2019,201.29405
DALYs from depressive disorders,Andorra,2019,626.0286
DALYs from schizophrenia,Andorra,2019,183.04898
DALYs from anxiety disorders,Andorra,2019,522.7868
DALYs from eating disorders,Andorra,2019,111.03082
DALYs from bipolar disorder,Angola,2019,118.545525
DALYs from depressive disorders,Angola,2019,1048.8491
DALYs from schizophrenia,Angola,2019,137.04173
DALYs from anxiety disorders,Angola,2019,378.2195
DALYs from eating disorders,Angola,2019,25.364304
DALYs from anxiety disorders,East Asia & Pacific (WB),2019,313.38013
DALYs from anxiety disorders,Eastern Mediterranean Region (WHO),2019,443.31262
DALYs from anxiety disorders,England,2019,420.71692
DALYs from anxiety disorders,Europe & Central Asia (WB),2019,416.01544
DALYs from anxiety disorders,European Region (WHO),2019,415.4222
DALYs from anxiety disorders,G20,2019,350.642
DALYs from anxiety disorders,High Income (WB),2019,464.84207
DALYs from anxiety disorders,Latin America & Caribbean (WB),2019,520.4963
DALYs from anxiety disorders,Low Income (WB),2019,350.46918
DALYs from anxiety disorders,Lower Middle Income (WB),2019,315.94724
DALYs from anxiety disorders,Middle East & North Africa (WB),2019,505.5568
DALYs from anxiety disorders,Middle Income (WB),2019,377.93237
DALYs from anxiety disorders,North America (WB),2019,521.5066
DALYs from anxiety disorders,Northern Ireland,2019,623.16846
DALYs from anxiety disorders,OECD Countries,2019,454.4008
DALYs from anxiety disorders,Region of the Americas (WHO),2019,520.3447
DALYs from anxiety disorders,Scotland,2019,402.27838
DALYs from anxiety disorders,South Asia (WB),2019,291.39273
DALYs from anxiety disorders,South-East Asia Region (WHO),2019,294.39355
DALYs from anxiety disorders,Sub-Saharan Africa (WB),2019,334.55646
DALYs from anxiety disorders,Wales,2019,407.64117
DALYs from anxiety disorders,Western Pacific Region (WHO),2019,309.40515
DALYs from anxiety disorders,Angola,2019,374.53
DALYs from anxiety disorders,United Arab Emirates,2019,408.53745
DALYs from anxiety disorders,Argentina,2019,477.98843
DALYs from anxiety disorders,Armenia,2019,302.23453
DALYs from anxiety disorders,Antigua and Barbuda,2019,414.30817
DALYs from anxiety disorders,Australia,2019,555.26514
DALYs from anxiety disorders,Austria,2019,575.83685
DALYs from anxiety disorders,Azerbaijan,2019,237.73558
DALYs from anxiety disorders,Burundi,2019,344.90887
DALYs from anxiety disorders,Belgium,2019,482.79935
DALYs from anxiety disorders,Benin,2019,309.66983
DALYs from anxiety disorders,Burkina Faso,2019,298.70984
DALYs from anxiety disorders,Bangladesh,2019,302.1657
DALYs from anxiety disorders,Bulgaria,2019,325.23016
DALYs from anxiety disorders,Bahrain,2019,474.18597
DALYs from anxiety disorders,Bahamas,2019,416.27075
DALYs from anxiety disorders,Bosnia and Herzegovina,2019,337.393
DALYs from anxiety disorders,Belarus,2019,333.80008
DALYs from anxiety disorders,Belize,2019,400.1483
DALYs from anxiety disorders,Bermuda,2019,416.2729
DALYs from anxiety disorders,Bolivia,2019,548.67444
DALYs from anxiety disorders,Brazil,2019,703.0959
DALYs from anxiety disorders,Barbados,2019,414.7921
DALYs from anxiety disorders,Brunei,2019,274.95563
DALYs from anxiety disorders,Bhutan,2019,309.87375
DALYs from anxiety disorders,Botswana,2019,335.34027
DALYs from anxiety disorders,Central African Republic,2019,416.3389
DALYs from anxiety disorders,Canada,2019,412.78735
DALYs from anxiety disorders,Switzerland,2019,650.5403
DALYs from anxiety disorders,Chile,2019,522.145
DALYs from anxiety disorders,China,2019,306.01974
DALYs from anxiety disorders,Cote d'Ivoire,2019,310.09085
DALYs from anxiety disorders,Cameroon,2019,306.0481
DALYs from anxiety disorders,Democratic Republic of Congo,2019,361.17035
DALYs from anxiety disorders,Congo,2019,355.10745
DALYs from anxiety disorders,Cook Islands,2019,390.17142
DALYs from anxiety disorders,Colombia,2019,451.81342
DALYs from anxiety disorders,Comoros,2019,340.42432
DALYs from anxiety disorders,Cape Verde,2019,297.17886
DALYs from anxiety disorders,Costa Rica,2019,402.4887
DALYs from anxiety disorders,Cuba,2019,406.79276
DALYs from anxiety disorders,Cyprus,2019,619.9741
DALYs from anxiety disorders,Czechia,2019,300.5031
DALYs from anxiety disorders,Germany,2019,592.5493
DALYs from anxiety disorders,Djibouti,2019,312.10767
DALYs from anxiety disorders,Dominica,2019,408.60886
DALYs from anxiety disorders,Denmark,2019,466.41702
DALYs from anxiety disorders,Dominican Republic,2019,430.92667
DALYs from anxiety disorders,Ecuador,2019,501.4449
DALYs from anxiety disorders,Egypt,2019,441.84732
DALYs from anxiety disorders,Eritrea,2019,354.82016
DALYs from anxiety disorders,Spain,2019,465.5033
DALYs from anxiety disorders,Estonia,2019,323.84485
DALYs from anxiety disorders,Ethiopia,2019,331.143
DALYs from anxiety disorders,Finland,2019,382.44467
DALYs from anxiety disorders,Fiji,2019,383.6016
DALYs from anxiety disorders,France,2019,600.69684
DALYs from anxiety disorders,Micronesia (country),2019,384.40808
DALYs from anxiety disorders,Gabon,2019,378.28967
DALYs from anxiety disorders,United Kingdom,2019,424.3838
DALYs from anxiety disorders,Georgia,2019,238.67186
DALYs from anxiety disorders,Ghana,2019,287.82965
DALYs from anxiety disorders,Guinea,2019,319.80295
DALYs from anxiety disorders,Gambia,2019,316.72253
DALYs from anxiety disorders,Guinea-Bissau,2019,295.64886
DALYs from anxiety disorders,Equatorial Guinea,2019,360.8932
DALYs from anxiety disorders,Greece,2019,553.9474
DALYs from anxiety disorders,Grenada,2019,409.09875
DALYs from anxiety disorders,Greenland,2019,459.74368
DALYs from anxiety disorders,Guatemala,2019,406.4585
DALYs from anxiety disorders,Guam,2019,384.94928
DALYs from anxiety disorders,Guyana,2019,414.3309
DALYs from anxiety disorders,Honduras,2019,391.36404
DALYs from anxiety disorders,Croatia,2019,343.2809
DALYs from anxiety disorders,Haiti,2019,438.31476
DALYs from anxiety disorders,Hungary,2019,325.34982
DALYs from anxiety disorders,Indonesia,2019,338.9018
DALYs from anxiety disorders,India,2019,278.50314
DALYs from anxiety disorders,Ireland,2019,661.21454
DALYs from anxiety disorders,Iran,2019,695.7628
DALYs from anxiety disorders,Iraq,2019,510.10797
DALYs from anxiety disorders,Iceland,2019,489.7725
DALYs from anxiety disorders,Israel,2019,359.06854
DALYs from anxiety disorders,Italy,2019,532.10895
DALYs from anxiety disorders,Jamaica,2019,388.20575
DALYs from anxiety disorders,Jordan,2019,475.06412
DALYs from anxiety disorders,Japan,2019,224.86041
DALYs from anxiety disorders,Kazakhstan,2019,202.17244
DALYs from anxiety disorders,Kenya,2019,326.0198
DALYs from anxiety disorders,Kyrgyzstan,2019,197.99797
DALYs from anxiety disorders,Cambodia,2019,436.24686
DALYs from anxiety disorders,Kiribati,2019,388.98743
DALYs from anxiety disorders,Saint Kitts and Nevis,2019,411.93716
DALYs from anxiety disorders,South Korea,2019,310.93314
DALYs from anxiety disorders,Kuwait,2019,442.73688
DALYs from anxiety disorders,Laos,2019,437.10196
DALYs from anxiety disorders,Lebanon,2019,579.4061
DALYs from anxiety disorders,Liberia,2019,332.1068
DALYs from anxiety disorders,Libya,2019,509.66724
DALYs from anxiety disorders,Saint Lucia,2019,410.60846
DALYs from anxiety disorders,Sri Lanka,2019,385.41315
DALYs from anxiety disorders,Lesotho,2019,334.34225
DALYs from anxiety disorders,Lithuania,2019,407.15076
DALYs from anxiety disorders,Luxembourg,2019,505.00296
DALYs from anxiety disorders,Latvia,2019,358.8856
DALYs from anxiety disorders,Morocco,2019,460.46152
DALYs from anxiety disorders,Monaco,2019,526.79407
DALYs from anxiety disorders,Moldova,2019,390.62427
DALYs from anxiety disorders,Madagascar,2019,378.5086
DALYs from anxiety disorders,Maldives,2019,344.0901
DALYs from anxiety disorders,Mexico,2019,335.56158
DALYs from anxiety disorders,Marshall Islands,2019,381.21692
DALYs from anxiety disorders,North Macedonia,2019,343.77505
DALYs from anxiety disorders,Mali,2019,261.37875
DALYs from anxiety disorders,Malta,2019,598.2675
DALYs from anxiety disorders,Myanmar,2019,379.27448
DALYs from anxiety disorders,Montenegro,2019,349.85477
DALYs from anxiety disorders,Mongolia,2019,205.45448
DALYs from anxiety disorders,Northern Mariana Islands,2019,383.37122
DALYs from anxiety disorders,Mozambique,2019,381.51675
DALYs from anxiety disorders,Mauritania,2019,264.3778
DALYs from anxiety disorders,Mauritius,2019,362.9281
DALYs from anxiety disorders,Malawi,2019,366.02643
DALYs from anxiety disorders,Malaysia,2019,439.80783
DALYs from anxiety disorders,Namibia,2019,331.12424
DALYs from anxiety disorders,Niger,2019,284.90048
DALYs from anxiety disorders,Nigeria,2019,285.8011
DALYs from anxiety disorders,Nicaragua,2019,418.06006
DALYs from anxiety disorders,Niue,2019,382.396
DALYs from anxiety disorders,Netherlands,2019,648.31116
DALYs from anxiety disorders,Norway,2019,644.0999
DALYs from anxiety disorders,Nepal,2019,309.5074
DALYs from anxiety disorders,Nauru,2019,386.97192
DALYs from anxiety disorders,New Zealand,2019,691.54395
DALYs from anxiety disorders,Oman,2019,444.1965
DALYs from anxiety disorders,World,2019,360.12097
DALYs from anxiety disorders,Pakistan,2019,328.23407
DALYs from anxiety disorders,Panama,2019,350.81192
DALYs from anxiety disorders,Peru,2019,533.3798
DALYs from anxiety disorders,Philippines,2019,435.027
DALYs from anxiety disorders,Palau,2019,376.1202
DALYs from anxiety disorders,Papua New Guinea,2019,378.75336
DALYs from anxiety disorders,Poland,2019,294.93384
DALYs from anxiety disorders,Puerto Rico,2019,425.1364
DALYs from anxiety disorders,North Korea,2019,348.51056
DALYs from anxiety disorders,Portugal,2019,767.6767
DALYs from anxiety disorders,Paraguay,2019,600.9803
DALYs from anxiety disorders,Palestine,2019,529.1111
DALYs from anxiety disorders,Qatar,2019,410.7429
DALYs from anxiety disorders,Romania,2019,314.76346
DALYs from anxiety disorders,Russia,2019,299.18607
DALYs from anxiety disorders,Rwanda,2019,347.41547
DALYs from anxiety disorders,Saudi Arabia,2019,437.261
DALYs from anxiety disorders,Sudan,2019,455.18668
DALYs from anxiety disorders,Senegal,2019,277.27914
DALYs from anxiety disorders,Singapore,2019,262.66132
DALYs from anxiety disorders,Solomon Islands,2019,383.9438
DALYs from anxiety disorders,Sierra Leone,2019,350.64008
DALYs from anxiety disorders,El Salvador,2019,421.28247
DALYs from anxiety disorders,San Marino,2019,531.01685
DALYs from anxiety disorders,Somalia,2019,310.7463
DALYs from anxiety disorders,Serbia,2019,319.0647
DALYs from anxiety disorders,South Sudan,2019,468.98935
DALYs from anxiety disorders,Sao Tome and Principe,2019,296.67783
DALYs from anxiety disorders,Suriname,2019,393.7075
DALYs from anxiety disorders,Slovakia,2019,327.40146
DALYs from anxiety disorders,Slovenia,2019,324.23
DALYs from anxiety disorders,Sweden,2019,459.72815
DALYs from anxiety disorders,Eswatini,2019,328.2068
DALYs from anxiety disorders,Seychelles,2019,357.41205
DALYs from anxiety disorders,Syria,2019,535.5609
DALYs from anxiety disorders,Chad,2019,322.20352
DALYs from anxiety disorders,Togo,2019,344.09924
DALYs from anxiety disorders,Thailand,2019,326.5251
DALYs from anxiety disorders,Tajikistan,2019,230.98955
DALYs from anxiety disorders,Tokelau,2019,382.42862
DALYs from anxiety disorders,Turkmenistan,2019,225.03067
DALYs from anxiety disorders,East Timor,2019,362.28882
DALYs from anxiety disorders,Tonga,2019,388.79108
DALYs from anxiety disorders,Trinidad and Tobago,2019,369.8041
DALYs from anxiety disorders,Tunisia,2019,497.23267
DALYs from anxiety disorders,Turkey,2019,433.74423
DALYs from anxiety disorders,Tuvalu,2019,382.25226
DALYs from anxiety disorders,Taiwan,2019,354.692
DALYs from anxiety disorders,Tanzania,2019,363.27722
DALYs from anxiety disorders,Uganda,2019,388.74808
DALYs from anxiety disorders,Ukraine,2019,299.75256
DALYs from anxiety disorders,Uruguay,2019,494.1361
DALYs from anxiety disorders,United States,2019,533.5562
DALYs from anxiety disorders,Uzbekistan,2019,194.11256
DALYs from anxiety disorders,Saint Vincent and the Grenadines,2019,410.277
DALYs from anxiety disorders,Venezuela,2019,383.50534
DALYs from anxiety disorders,United States Virgin Islands,2019,418.07587
DALYs from anxiety disorders,Vietnam,2019,220.24388
DALYs from anxiety disorders,Vanuatu,2019,383.61334
DALYs from anxiety disorders,Samoa,2019,384.68683
DALYs from anxiety disorders,Yemen,2019,455.44073
DALYs from anxiety disorders,South Africa,2019,357.19547
DALYs from anxiety disorders,Zambia,2019,375.89227
DALYs from anxiety disorders,Zimbabwe,2019,298.20325
DALYs from bipolar disorder,East Asia & Pacific (WB),2019,57.87442
DALYs from bipolar disorder,Eastern Mediterranean Region (WHO),2019,138.35562
DALYs from bipolar disorder,England,2019,239.4754
DALYs from bipolar disorder,Europe & Central Asia (WB),2019,155.997
DALYs from bipolar disorder,European Region (WHO),2019,156.62009
DALYs from bipolar disorder,G20,2019,97.47197
DALYs from bipolar disorder,High Income (WB),2019,158.68362
DALYs from bipolar disorder,Latin America & Caribbean (WB),2019,209.7309
DALYs from bipolar disorder,Low Income (WB),2019,118.9031
DALYs from bipolar disorder,Lower Middle Income (WB),2019,89.70144
DALYs from bipolar disorder,Middle East & North Africa (WB),2019,164.76611
DALYs from bipolar disorder,Middle Income (WB),2019,98.79087
DALYs from bipolar disorder,North America (WB),2019,132.01122
DALYs from bipolar disorder,Northern Ireland,2019,243.79855
DALYs from bipolar disorder,OECD Countries,2019,165.26898
DALYs from bipolar disorder,Region of the Americas (WHO),2019,181.90427
DALYs from bipolar disorder,Scotland,2019,195.40761
DALYs from bipolar disorder,South Asia (WB),2019,78.10459
DALYs from bipolar disorder,South-East Asia Region (WHO),2019,74.50426
DALYs from bipolar disorder,Sub-Saharan Africa (WB),2019,123.03377
DALYs from bipolar disorder,Wales,2019,193.26585
DALYs from bipolar disorder,Western Pacific Region (WHO),2019,55.75972
DALYs from bipolar disorder,Angola,2019,119.01723
DALYs from bipolar disorder,United Arab Emirates,2019,163.0362
DALYs from bipolar disorder,Argentina,2019,225.17241
DALYs from bipolar disorder,Armenia,2019,117.56188
DALYs from bipolar disorder,Antigua and Barbuda,2019,204.71199
DALYs from bipolar disorder,Australia,2019,242.07814
DALYs from bipolar disorder,Austria,2019,193.48299
DALYs from bipolar disorder,Azerbaijan,2019,113.528145
DALYs from bipolar disorder,Burundi,2019,123.836136
DALYs from bipolar disorder,Belgium,2019,193.01605
DALYs from bipolar disorder,Benin,2019,117.99786
DALYs from bipolar disorder,Burkina Faso,2019,115.881874
DALYs from bipolar disorder,Bangladesh,2019,83.65889
DALYs from bipolar disorder,Bulgaria,2019,101.005745
DALYs from bipolar disorder,Bahrain,2019,168.85402
DALYs from bipolar disorder,Bahamas,2019,195.08301
DALYs from bipolar disorder,Bosnia and Herzegovina,2019,118.46757
DALYs from bipolar disorder,Belarus,2019,112.823784
DALYs from bipolar disorder,Belize,2019,196.79114
DALYs from bipolar disorder,Bermuda,2019,213.05368
DALYs from bipolar disorder,Bolivia,2019,192.41281
DALYs from bipolar disorder,Brazil,2019,239.5269
DALYs from bipolar disorder,Barbados,2019,202.5276
DALYs from bipolar disorder,Brunei,2019,131.40211
DALYs from bipolar disorder,Bhutan,2019,84.297745
DALYs from bipolar disorder,Botswana,2019,115.02767
DALYs from bipolar disorder,Central African Republic,2019,112.88923
DALYs from bipolar disorder,Canada,2019,174.40617
DALYs from bipolar disorder,Switzerland,2019,202.4897
DALYs from bipolar disorder,Chile,2019,215.13377
DALYs from bipolar disorder,China,2019,39.63712
DALYs from bipolar disorder,Cote d'Ivoire,2019,114.53062
DALYs from bipolar disorder,Cameroon,2019,115.08518
DALYs from bipolar disorder,Democratic Republic of Congo,2019,118.94087
DALYs from bipolar disorder,Congo,2019,116.9855
DALYs from bipolar disorder,Cook Islands,2019,60.458645
DALYs from bipolar disorder,Colombia,2019,160.69984
DALYs from bipolar disorder,Comoros,2019,131.70442
DALYs from bipolar disorder,Cape Verde,2019,125.369354
DALYs from bipolar disorder,Costa Rica,2019,189.56941
DALYs from bipolar disorder,Cuba,2019,205.79816
DALYs from bipolar disorder,Cyprus,2019,196.1184
DALYs from bipolar disorder,Czechia,2019,118.0023
DALYs from bipolar disorder,Germany,2019,160.14557
DALYs from bipolar disorder,Djibouti,2019,131.45888
DALYs from bipolar disorder,Dominica,2019,195.00146
DALYs from bipolar disorder,Denmark,2019,202.26764
DALYs from bipolar disorder,Dominican Republic,2019,197.64253
DALYs from bipolar disorder,Ecuador,2019,197.10313
DALYs from bipolar disorder,Egypt,2019,156.85898
DALYs from bipolar disorder,Eritrea,2019,125.30039
DALYs from bipolar disorder,Spain,2019,199.39117
DALYs from bipolar disorder,Estonia,2019,113.21128
DALYs from bipolar disorder,Ethiopia,2019,132.55504
DALYs from bipolar disorder,Finland,2019,191.22415
DALYs from bipolar disorder,Fiji,2019,58.63805
DALYs from bipolar disorder,France,2019,194.77293
DALYs from bipolar disorder,Micronesia (country),2019,56.650066
DALYs from bipolar disorder,Gabon,2019,120.37192
DALYs from bipolar disorder,United Kingdom,2019,233.84099
DALYs from bipolar disorder,Georgia,2019,113.57591
DALYs from bipolar disorder,Ghana,2019,117.51619
DALYs from bipolar disorder,Guinea,2019,116.028885
DALYs from bipolar disorder,Gambia,2019,118.07408
DALYs from bipolar disorder,Guinea-Bissau,2019,113.25198
DALYs from bipolar disorder,Equatorial Guinea,2019,118.50275
DALYs from bipolar disorder,Greece,2019,195.079
DALYs from bipolar disorder,Grenada,2019,198.7741
DALYs from bipolar disorder,Greenland,2019,139.01001
DALYs from bipolar disorder,Guatemala,2019,172.62886
DALYs from bipolar disorder,Guam,2019,61.5382
DALYs from bipolar disorder,Guyana,2019,186.35129
DALYs from bipolar disorder,Honduras,2019,175.82936
DALYs from bipolar disorder,Croatia,2019,117.81217
DALYs from bipolar disorder,Haiti,2019,180.9449
DALYs from bipolar disorder,Hungary,2019,116.37727
DALYs from bipolar disorder,Indonesia,2019,71.24943
DALYs from bipolar disorder,India,2019,75.254654
DALYs from bipolar disorder,Ireland,2019,150.4242
DALYs from bipolar disorder,Iran,2019,175.84076
DALYs from bipolar disorder,Iraq,2019,145.29636
DALYs from bipolar disorder,Iceland,2019,195.8051
DALYs from bipolar disorder,Israel,2019,227.08182
DALYs from bipolar disorder,Italy,2019,191.76006
DALYs from bipolar disorder,Jamaica,2019,204.77824
DALYs from bipolar disorder,Jordan,2019,169.6371
DALYs from bipolar disorder,Japan,2019,140.43578
DALYs from bipolar disorder,Kazakhstan,2019,109.6311
DALYs from bipolar disorder,Kenya,2019,129.566
DALYs from bipolar disorder,Kyrgyzstan,2019,112.12632
DALYs from bipolar disorder,Cambodia,2019,68.494514
DALYs from bipolar disorder,Kiribati,2019,54.997856
DALYs from bipolar disorder,Saint Kitts and Nevis,2019,197.0199
DALYs from bipolar disorder,South Korea,2019,109.01052
DALYs from bipolar disorder,Kuwait,2019,175.30579
DALYs from bipolar disorder,Laos,2019,70.24087
DALYs from bipolar disorder,Lebanon,2019,203.00905
DALYs from bipolar disorder,Liberia,2019,115.60084
